Index,model,trial,AS_train,PS_train,RS_train,AS_test,PS_test,RS_test
0,GA,trial1,0.75388,0.75773,0.75388,0.46512,0.46965,0.46512
1,HGS,trial1,0.73062,0.73073,0.73062,0.55814,0.55938,0.55814
2,ARO,trial1,0.73256,0.73275,0.73256,0.50388,0.50556,0.50388
3,EFO,trial1,0.74806,0.74853,0.74806,0.51163,0.51465,0.51163
4,TLO,trial1,0.73643,0.73654,0.73643,0.46512,0.46639,0.46512
5,SMA,trial1,0.73256,0.73353,0.73256,0.48062,0.48562,0.48062
6,AAEO,trial1,0.72287,0.72272,0.72287,0.48837,0.48922,0.48837
7,RUN,trial1,0.74612,0.74611,0.74612,0.49612,0.49739,0.49612
8,GA,trial2,0.74225,0.74297,0.74225,0.50388,0.50642,0.50388
9,HGS,trial2,0.71899,0.7193,0.71899,0.48837,0.48922,0.48837
10,ARO,trial2,0.75388,0.75413,0.75388,0.50388,0.50819,0.50388
11,EFO,trial2,0.72093,0.7208,0.72093,0.46512,0.46786,0.46512
12,TLO,trial2,0.73837,0.73885,0.73837,0.49612,0.49905,0.49612
13,SMA,trial2,0.74225,0.74231,0.74225,0.45736,0.46094,0.45736
14,AAEO,trial2,0.73837,0.74017,0.73837,0.49612,0.50431,0.49612
15,RUN,trial2,0.73837,0.73824,0.73837,0.46512,0.46716,0.46512
16,GA,trial3,0.73837,0.73868,0.73837,0.45736,0.45824,0.45736
17,HGS,trial3,0.72093,0.7208,0.72093,0.54264,0.54584,0.54264
18,ARO,trial3,0.73256,0.73308,0.73256,0.50388,0.50556,0.50388
19,EFO,trial3,0.72674,0.72752,0.72674,0.48837,0.49244,0.48837
20,TLO,trial3,0.73256,0.7329,0.73256,0.48062,0.48346,0.48062
21,SMA,trial3,0.71512,0.71789,0.71512,0.45736,0.46223,0.45736
22,AAEO,trial3,0.72093,0.72085,0.72093,0.50388,0.50911,0.50388
23,RUN,trial3,0.75969,0.76025,0.75969,0.49612,0.49905,0.49612
24,GA,trial4,0.72868,0.72917,0.72868,0.48837,0.49165,0.48837
25,HGS,trial4,0.74225,0.74348,0.74225,0.49612,0.49655,0.49612
26,ARO,trial4,0.76357,0.76347,0.76357,0.50388,0.50642,0.50388
27,EFO,trial4,0.75,0.7508,0.75,0.51938,0.52394,0.51938
28,TLO,trial4,0.75194,0.75216,0.75194,0.49612,0.49905,0.49612
29,SMA,trial4,0.73643,0.73745,0.73643,0.50388,0.50819,0.50388
