Index,model,trial,AS_train,PS_train,RS_train,AS_test,PS_test,RS_test
0,GA,trial1,0.90988,0.86466,0.86475,0.85783,0.78947,0.788
1,HGS,trial1,0.90988,0.86466,0.86475,0.85783,0.78947,0.788
2,ARO,trial1,0.92136,0.88214,0.882,0.86493,0.79928,0.798
3,EFO,trial1,0.90338,0.85497,0.855,0.85136,0.77988,0.778
4,TLO,trial1,0.92003,0.88017,0.88,0.86198,0.7948,0.794
5,SMA,trial1,0.88654,0.82962,0.82975,0.8303,0.7504,0.746
6,AAEO,trial1,0.91587,0.87374,0.87375,0.84889,0.77515,0.775
7,RUN,trial1,0.92003,0.88017,0.88,0.86198,0.7948,0.794
8,GA,trial2,0.90921,0.86364,0.86375,0.85706,0.78728,0.787
9,HGS,trial2,0.92003,0.88063,0.88,0.87462,0.81463,0.813
10,ARO,trial2,0.90988,0.86466,0.86475,0.85783,0.78947,0.788
11,EFO,trial2,0.90653,0.85977,0.85975,0.85902,0.79058,0.789
12,TLO,trial2,0.92003,0.88017,0.88,0.86198,0.7948,0.794
13,SMA,trial2,0.91088,0.8661,0.86625,0.86462,0.79893,0.798
14,AAEO,trial2,0.90423,0.85621,0.85625,0.86992,0.80856,0.806
15,RUN,trial2,0.92136,0.88214,0.882,0.86493,0.79928,0.798
16,GA,trial3,0.91187,0.86761,0.86775,0.86041,0.7939,0.792
17,HGS,trial3,0.9232,0.8847,0.88475,0.86228,0.79487,0.794
18,ARO,trial3,0.92236,0.88379,0.8835,0.87426,0.81349,0.813
19,EFO,trial3,0.91536,0.87298,0.873,0.8666,0.80123,0.801
20,TLO,trial3,0.92003,0.88017,0.88,0.86198,0.7948,0.794
21,SMA,trial3,0.90569,0.85847,0.8585,0.85181,0.78066,0.778
22,AAEO,trial3,0.92253,0.88379,0.88375,0.85944,0.79127,0.791
23,RUN,trial3,0.92003,0.88017,0.88,0.86198,0.7948,0.794
24,GA,trial4,0.91104,0.86642,0.8665,0.86228,0.79668,0.795
25,HGS,trial4,0.90389,0.85581,0.85575,0.86556,0.8012,0.8
26,ARO,trial4,0.92003,0.88017,0.88,0.86198,0.7948,0.794
